City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,geraldton,-28.7667,114.6,279.38,93,0,2.57,AU,1689869136
345,callao,-12.0667,-77.15,296.31,60,75,4.12,PE,1689869117
346,freetown,8.484,-13.2299,300.7,77,90,4.18,SL,1689869277
347,yelenendorf,40.5869,46.3158,300.88,42,20,5.14,AZ,1689869278
348,pechora,65.1472,57.2244,295.31,66,95,3.14,RU,1689869278
349,cockburn town,21.4612,-71.1419,301.34,79,80,8.24,TC,1689869278
350,aldinga beach,-35.2793,138.4604,283.52,72,15,4.69,AU,1689869278
351,nalundan,9.75,123.0667,297.67,87,99,1.71,PH,1689869278
352,la'ie,21.6477,-157.9253,299.13,83,90,3.13,US,1689869279
353,enewetak,11.3474,162.3373,301.69,80,43,6.89,MH,1689869279
354,formosa,-26.1775,-58.1781,299.24,66,77,1.34,AR,1689869279
355,cabo san lucas,22.8909,-109.9124,307.93,43,20,3.6,MX,1689868997
356,nyurba,63.2842,118.3319,289.37,76,45,2.13,RU,1689869280
357,alofi,-19.0595,-169.9187,296.95,68,96,9.82,NU,1689869280
358,waat,51.1454,6.4958,297.58,51,0,2.06,DE,1689869280
359,vilyuchinsk,52.9306,158.4028,285.3,95,96,0.68,RU,1689869091
360,san patricio,28.017,-97.5169,307.08,44,70,5.22,US,1689869281
361,wellawaya,6.7318,81.1018,298.58,70,56,3.22,LK,1689869281
362,yanchep,-31.55,115.6833,284.89,77,99,3.91,AU,1689869141
